"","accession_id","phenotype_value"
"1",88,43.66666667
"2",108,42
"3",139,43
"4",159,46.75
"5",265,35.25
"6",350,41.75
"7",351,55
"8",403,44.5
"9",410,55
"10",424,57.75
"11",428,49.33333333
"12",430,43.75
"13",630,47
"14",763,28.75
"15",765,29.66666667
"16",766,29.5
"17",768,67
"18",772,33.25
"19",801,74.75
"20",870,54
"21",915,32.25
"22",932,60
"23",991,86.75
"24",992,86.25
"25",997,73
"26",1002,79.75
"27",1061,81.75
"28",1062,57.5
"29",1063,51.75
"30",1158,70.5
"31",1254,93
"32",1257,81.75
"33",1317,88
"34",1552,102.3333333
"35",1829,97
"36",1853,57.66666667
"37",1872,73.25
"38",1890,64.75
"39",1925,78
"40",1954,81.75
"41",2016,60.25
"42",2171,72
"43",2202,84.75
"44",2276,75
"45",2278,81.75
"46",2317,41.75
"47",4779,39.25
"48",4807,77.25
"49",4826,42
"50",4884,39.5
"51",4900,39.75
"52",4958,93
"53",5023,32.5
"54",5104,32
"55",5151,62.75
"56",5165,72.75
"57",5210,67.75
"58",5236,34.25
"59",5253,28.5
"60",5276,41.25
"61",5349,79.66666667
"62",5353,53
"63",5486,27.5
"64",5577,40.75
"65",5644,33.5
"66",5720,52
"67",5726,37.5
"68",5741,80
"69",5748,31
"70",5757,54.66666667
"71",5768,76.66666667
"72",5772,37.5
"73",5779,54.5
"74",5784,56
"75",5800,29.33333333
"76",5811,36
"77",5822,101.5
"78",5830,65.33333333
"79",5831,86
"80",5832,74
"81",5837,43.25
"82",5865,88.33333333
"83",5867,89
"84",5874,60.25
"85",5890,45.25
"86",5893,55.5
"87",5907,39
"88",5921,45.75
"89",5950,52.25
"90",5984,31.5
"91",5993,53
"92",6008,31.25
"93",6009,105.5
"94",6011,102
"95",6012,113.6666667
"96",6013,85
"97",6016,83.66666667
"98",6017,96
"99",6019,95
"100",6020,80
"101",6021,72.25
"102",6023,73.25
"103",6024,98.5
"104",6025,137
"105",6030,116.5
"106",6034,67
"107",6035,61
"108",6036,75
"109",6038,63
"110",6039,46
"111",6040,70
"112",6041,39.5
"113",6042,32.75
"114",6043,117.6666667
"115",6046,116
"116",6064,124.6666667
"117",6069,129
"118",6070,109.3333333
"119",6071,124.25
"120",6073,82.5
"121",6074,81.25
"122",6076,101
"123",6085,112.5
"124",6086,87.75
"125",6088,110
"126",6090,94.5
"127",6092,82
"128",6094,99
"129",6097,83.25
"130",6098,93.5
"131",6099,103
"132",6100,86.66666667
"133",6102,107.25
"134",6104,92.75
"135",6105,79.33333333
"136",6106,85.75
"137",6107,97.5
"138",6108,42.75
"139",6109,90
"140",6111,81.33333333
"141",6112,65.5
"142",6114,80
"143",6115,65.5
"144",6118,90.25
"145",6122,80
"146",6124,90.66666667
"147",6125,93.25
"148",6126,77.66666667
"149",6128,104.6666667
"150",6131,121.3333333
"151",6132,84.5
"152",6133,81.75
"153",6134,87.33333333
"154",6136,74.75
"155",6137,75.25
"156",6138,77.25
"157",6140,91
"158",6142,92.25
"159",6145,108
"160",6148,93
"161",6149,92.25
"162",6150,87.66666667
"163",6151,91
"164",6153,121.5
"165",6169,105
"166",6172,76
"167",6173,100.25
"168",6174,115.5
"169",6177,81.5
"170",6180,30.5
"171",6184,95
"172",6188,40.5
"173",6189,46
"174",6191,46
"175",6192,51.5
"176",6193,42.25
"177",6194,76.75
"178",6195,46.75
"179",6198,81
"180",6201,92.5
"181",6202,108.25
"182",6203,106.25
"183",6209,100
"184",6210,112
"185",6217,112
"186",6218,128.5
"187",6220,109
"188",6221,120
"189",6237,95.66666667
"190",6238,101.3333333
"191",6240,113
"192",6241,111.6666667
"193",6242,76.75
"194",6243,34.75
"195",6244,98.75
"196",6252,127
"197",6255,139
"198",6258,110.6666667
"199",6268,107
"200",6276,121.6666667
"201",6284,123.3333333
"202",6296,37.25
"203",6390,52
"204",6396,58.75
"205",6413,72.75
"206",6424,41.5
"207",6434,29.5
"208",6445,37.25
"209",6680,81.33333333
"210",6744,35.75
"211",6900,110.5
"212",6901,109
"213",6909,28
"214",6918,134
"215",6963,53.5
"216",6967,30.75
"217",6968,82.66666667
"218",6970,40
"219",6973,35
"220",6974,110
"221",6975,37.75
"222",6979,24.75
"223",6981,32
"224",6982,35.25
"225",6984,37.75
"226",6986,33.75
"227",6987,35.5
"228",6989,51.25
"229",6990,48.75
"230",6992,42
"231",6997,43
"232",7000,41.25
"233",7002,50
"234",7003,38.5
"235",7008,70.5
"236",7013,28
"237",7014,69.33333333
"238",7025,45.75
"239",7026,34.75
"240",7028,26.66666667
"241",7031,36.25
"242",7036,38.5
"243",7058,54.25
"244",7061,53.75
"245",7062,28.5
"246",7063,39.33333333
"247",7064,54
"248",7067,31
"249",7068,45.5
"250",7071,35.75
"251",7072,52.75
"252",7077,32.66666667
"253",7092,47
"254",7094,32.75
"255",7096,28.5
"256",7102,57.5
"257",7103,26.25
"258",7106,34
