Unnamed: 0,accession_id,phenotype_value
2,108,52.25
3,139,52.75
4,159,56.75
5,265,47.25
6,350,51.5
7,351,65.33333333
8,403,54.25
9,410,65.25
10,424,68.25
11,428,59.0
13,630,58.75
14,763,39.0
17,768,78.25
19,801,88.25
20,870,62.25
21,915,43.5
22,932,68.75
25,997,87.5
26,1002,86.25
30,1158,88.0
33,1317,102.0
35,1829,99.0
37,1872,82.5
38,1890,75.75
39,1925,89.5
40,1954,101.0
41,2016,69.75
42,2171,82.5
43,2202,96.5
44,2276,84.25
45,2278,85.0
46,2317,53.5
47,4779,50.25
48,4807,87.5
49,4826,51.0
50,4884,49.5
52,4958,100.25
53,5023,43.75
54,5104,40.75
55,5151,73.66666667
57,5210,78.0
58,5236,43.5
60,5276,49.75
61,5349,97.33333333
62,5353,62.5
63,5486,37.5
64,5577,51.0
65,5644,46.25
66,5720,63.33333333
67,5726,48.0
68,5741,88.5
69,5748,41.75
71,5768,85.0
72,5772,49.0
73,5779,67.0
74,5784,69.25
75,5800,39.0
76,5811,46.0
77,5822,111.0
79,5831,93.0
81,5837,55.25
83,5874,69.25
84,5890,55.25
85,5893,64.25
86,5907,48.5
87,5921,55.75
88,5950,65.5
89,5984,41.75
90,5993,64.75
91,6008,43.0
92,6009,113.5
97,6017,104.0
98,6020,87.25
101,6024,116.0
106,6038,77.25
109,6041,51.5
113,6064,129.5
121,6086,100.75
126,6097,94.0
128,6099,113.6666667
133,6106,94.75
134,6107,105.25
135,6108,52.75
137,6111,93.66666667
149,6133,91.75
152,6137,87.75
153,6138,90.75
154,6140,103.25
156,6145,111.5
157,6148,105.6666667
162,6169,113.5
165,6174,128.0
166,6177,105.5
174,6194,91.5
175,6195,59.0
176,6198,92.5
177,6201,103.0
179,6203,119.6666667
182,6217,127.0
183,6218,137.0
184,6220,117.3333333
188,6240,125.6666667
189,6241,117.5
194,6268,128.6666667
196,6284,131.5
197,6296,47.0
198,6390,61.33333333
201,6424,53.0
202,6434,40.0
203,6445,50.0
204,6680,92.33333333
205,6744,47.25
206,6900,121.5
208,6909,38.0
212,6970,50.25
213,6973,46.25
214,6974,125.25
216,6979,36.0
222,6989,61.0
224,6992,54.25
230,7013,38.75
234,7028,40.25
237,7058,66.0
242,7067,42.25
248,7094,43.25
250,7102,71.0
251,7103,36.75
252,7106,44.5
253,7107,50.75
256,7119,41.0
268,7161,39.33333333
271,7164,59.25
272,7165,43.5
273,7169,78.25
276,7186,49.75
279,7202,40.75
286,7218,51.25
288,7231,45.33333333
290,7244,46.0
291,7248,66.66666667
292,7250,37.75
299,7282,37.5
301,7288,70.25
302,7296,62.5
308,7316,89.25
310,7320,74.5
311,7322,51.75
312,7328,51.33333333
319,7346,58.66666667
322,7350,52.0
323,7353,70.5
324,7354,108.3333333
326,7372,54.5
327,7373,54.75
328,7377,59.75
332,7384,65.75
335,7396,51.5
336,7404,41.33333333
338,7413,48.0
341,7418,46.25
343,7424,35.5
344,7427,91.5
348,7477,52.25
350,7517,113.75
351,7717,76.25
352,7917,68.75
354,8077,57.75
355,8132,67.33333333
358,8231,108.6666667
359,8233,69.25
360,8234,92.75
361,8235,68.75
362,8236,64.66666667
364,8238,52.25
365,8239,42.5
370,8244,58.5
371,8246,76.5
372,8247,94.66666667
375,8259,65.5
376,8264,63.5
378,8284,76.0
380,8290,44.25
381,8297,79.0
387,8334,54.0
389,8337,72.5
390,8343,59.75
391,8351,97.5
393,8357,55.5
394,8365,39.5
395,8366,62.75
398,8386,49.0
400,8419,58.75
403,8424,80.0
407,9067,130.0
410,9075,98.25
411,9078,104.25
412,9079,102.0
413,9081,99.66666667
414,9084,114.25
415,9085,101.0
416,9089,125.5
417,9091,97.5
418,9095,113.3333333
419,9099,112.6666667
420,9100,74.0
421,9102,80.75
422,9103,82.75
423,9104,60.0
424,9105,78.75
425,9106,87.5
426,9111,89.25
427,9113,70.25
428,9114,100.5
429,9115,71.75
430,9121,102.0
431,9125,69.25
432,9128,61.0
433,9130,63.25
434,9131,63.5
435,9133,68.0
436,9134,64.5
437,9298,45.5
438,9312,57.5
439,9314,60.0
440,9321,140.0
453,9386,107.75
454,9388,137.0
462,9404,78.75
463,9405,95.5
465,9408,124.0
466,9409,119.25
470,9421,103.0
472,9433,137.0
477,9451,113.6666667
485,9503,53.5
486,9506,69.0
487,9507,46.66666667
488,9508,60.66666667
489,9509,59.0
490,9510,55.75
491,9511,55.0
492,9512,40.25
493,9513,63.33333333
494,9514,83.33333333
495,9515,51.25
496,9517,35.75
497,9518,87.5
498,9519,64.5
499,9520,120.5
500,9521,68.0
501,9522,60.33333333
502,9523,84.66666667
503,9524,99.66666667
504,9525,81.25
505,9526,56.33333333
506,9527,76.5
508,9529,63.0
509,9530,123.0
510,9531,92.0
511,9532,108.6666667
512,9533,79.0
513,9534,65.66666667
514,9535,89.0
516,9537,56.0
518,9540,88.25
519,9541,61.5
520,9542,107.25
521,9543,89.66666667
522,9544,53.5
523,9545,101.0
524,9547,70.0
525,9549,106.6666667
526,9550,132.0
527,9551,123.0
528,9553,106.0
529,9554,104.25
531,9556,65.0
532,9557,112.0
533,9558,114.6666667
534,9559,66.5
535,9560,53.75
536,9561,92.0
537,9562,83.5
538,9565,72.33333333
539,9567,103.5
540,9568,109.5
541,9569,96.5
543,9573,60.0
544,9576,106.5
545,9577,123.5
546,9578,59.25
547,9579,79.25
548,9581,118.5
549,9582,93.75
550,9583,89.5
551,9584,85.5
552,9585,32.0
553,9587,101.75
554,9588,79.33333333
556,9590,50.5
557,9591,46.0
558,9592,100.0
559,9593,109.0
560,9594,110.6666667
561,9595,66.75
562,9596,61.0
563,9597,60.66666667
564,9598,91.0
565,9599,90.25
566,9600,73.0
567,9601,77.0
568,9602,75.33333333
569,9606,41.0
570,9607,107.6666667
571,9608,45.25
572,9609,51.0
573,9610,69.5
574,9611,68.0
575,9612,71.5
576,9613,71.66666667
577,9615,86.0
578,9616,110.75
579,9617,66.0
580,9619,83.0
581,9620,74.33333333
582,9621,90.5
583,9622,81.66666667
584,9624,74.33333333
586,9626,70.25
587,9627,88.25
588,9628,69.25
589,9629,74.66666667
590,9630,79.5
591,9631,140.0
592,9632,90.33333333
593,9633,77.0
594,9634,98.0
596,9636,141.0
597,9637,82.5
598,9638,87.66666667
599,9639,73.25
600,9640,80.75
602,9642,86.0
604,9644,69.0
605,9645,66.25
606,9646,55.25
607,9647,55.0
608,9648,61.0
609,9649,67.25
610,9651,49.66666667
611,9653,52.5
612,9655,71.66666667
613,9656,89.0
615,9658,66.5
616,9659,66.66666667
617,9660,40.0
618,9661,42.0
619,9663,69.33333333
621,9665,86.66666667
622,9666,112.0
624,9668,79.5
625,9669,86.0
629,9673,99.66666667
632,9678,87.0
633,9679,79.75
634,9680,59.33333333
635,9681,92.25
636,9682,74.75
637,9683,71.75
638,9684,89.5
643,9690,81.66666667
646,9693,75.0
649,9696,76.75
650,9697,63.0
651,9698,74.5
652,9699,63.66666667
654,9701,82.0
655,9703,69.75
656,9704,70.33333333
657,9705,67.0
658,9706,78.66666667
659,9707,72.75
660,9708,85.0
661,9709,73.5
662,9710,83.25
663,9711,82.5
664,9712,78.0
665,9713,68.33333333
666,9714,82.33333333
668,9717,93.33333333
670,9719,57.75
671,9720,104.0
672,9721,78.0
673,9722,108.0
674,9723,68.5
675,9725,56.5
676,9726,56.5
677,9727,43.5
678,9728,77.75
679,9729,79.0
680,9730,97.0
681,9731,66.0
682,9732,88.25
683,9733,83.75
684,9735,74.0
685,9736,81.0
686,9737,63.66666667
687,9738,73.75
688,9739,68.5
689,9741,71.5
690,9743,75.0
691,9744,63.33333333
692,9745,76.0
693,9747,94.66666667
694,9748,86.25
695,9749,63.75
696,9755,82.0
697,9756,73.0
698,9757,93.0
700,9759,58.5
702,9762,72.75
705,9768,54.66666667
706,9769,44.66666667
707,9770,44.75
708,9771,44.25
709,9772,40.75
710,9774,43.0
711,9775,44.25
712,9776,57.5
713,9777,43.5
714,9778,49.25
715,9779,44.66666667
716,9780,45.75
717,9781,41.66666667
718,9782,44.5
719,9783,66.33333333
720,9784,43.5
721,9785,45.25
722,9786,40.25
724,9788,38.33333333
725,9789,42.25
726,9790,41.75
727,9791,38.33333333
728,9792,42.75
729,9793,63.33333333
730,9794,44.5
731,9795,38.25
732,9796,46.0
733,9797,46.5
734,9798,44.66666667
735,9799,50.5
736,9800,42.5
737,9801,36.33333333
738,9802,42.75
739,9803,41.25
740,9804,45.75
741,9805,53.0
742,9806,43.0
743,9807,43.0
744,9808,53.0
745,9809,51.25
747,9811,45.0
748,9812,45.75
749,9813,45.5
750,9814,48.33333333
751,9815,48.0
752,9816,39.0
753,9817,63.75
754,9819,98.5
756,9821,72.25
758,9823,42.0
759,9824,143.0
760,9825,63.5
761,9826,73.0
762,9827,60.0
763,9828,78.75
764,9830,51.25
765,9831,88.25
