Phenotype,Gene,Effect Size,p-value
Y545,AT3G13680,0.002842920367146,1.2940870892546663e-10
Y538,AT4G12240,-0.0006406476322773,8.806743355363876e-08
Y741,AT5G12040,-0.152102132305034,5.16529774086618e-06
Y371,AT1G67530,0.0010311812954276,1.5823426298414653e-08
Y631,AT1G20225,-0.0466218017485187,3.922071867697573e-08
Y631,AT1G45015,-2.252154731865038,3.5828555913525757e-09
Y631,AT1G47915,-1.203355809711529,1.1286451593658695e-09
Y631,AT1G47920,-0.1583486263774098,5.618384049988522e-09
Y631,AT1G49170,-0.271755944559959,5.307703811138353e-07
Y631,AT1G78320,-0.1660133535451909,3.083035763799302e-09
Y631,AT2G02640,-6.711404824862717,3.560771139599199e-07
Y631,AT2G04340,-0.1096109797092359,4.2948357130226237e-07
Y631,AT2G12935,-0.1816662459379757,4.5402449270867855e-08
Y631,AT2G14660,-0.287741944481576,1.0920971128227028e-06
Y631,NA,-0.3938253509351073,1.761297935335122e-06
Y631,AT2G19050,-3.520039474560131,3.159597982645819e-08
Y631,AT2G26120,-4.556212262078109,1.2963772392249289e-06
Y631,AT2G42370,0.330799675930486,1.170238822322404e-06
Y631,AT2G44210,-0.0132678645561107,4.9997957168130916e-08
Y631,AT2G45135,-0.245105670843352,2.3571408236780666e-07
Y631,AT2G46710,0.0334609767332734,5.291319024115329e-07
Y631,AT3G14330,-0.1468149929206263,5.72461389502602e-07
Y631,AT3G45940,-0.1101912555748931,1.3837166131933939e-09
Y631,AT3G61950,-0.1271336423880582,1.4783691689544728e-06
Y631,AT4G00525,-0.4299343732026869,1.8684446880900405e-08
Y631,AT4G01890,-7.67682585312074,1.634704009058825e-08
Y631,AT4G10160,-0.8359587613166757,2.7158208277635285e-08
Y631,AT5G11290,-4.8703354849068266,1.5307278405348439e-09
Y631,AT5G11410,-0.5494323582045856,2.95305644163273e-08
Y631,AT5G43360,-0.4649319762955977,1.4592631437395093e-06
Y631,AT5G66150,-0.294742074714838,8.594365973124877e-07
Y577,AT1G33710,-0.011185448314548,2.0070946468372332e-17
Y577,AT1G47915,-0.0081385932150558,1.2844907037606936e-24
Y577,AT1G47920,-0.0011630853752971,6.2717741876920784e-27
Y577,AT1G52530,-0.0044631100629336,2.4724523256828398e-12
Y577,AT1G64910,-0.0432308269212206,5.71809477379455e-13
Y577,AT1G78320,-0.0009491449082276,1.856138738093134e-16
Y577,AT2G02640,-0.0467364833950182,3.138458068223695e-18
Y577,AT2G12935,-0.0011119903028682,3.4398989799226766e-16
Y577,AT2G14660,-0.0018537067046954,9.058657974323456e-15
Y577,AT2G26120,-0.0277993734356239,8.624081584920638e-13
Y577,AT2G45470,-4.692833422052579e-05,4.775432252865031e-10
Y577,AT3G04330,-0.0251920259257206,9.890329140980264e-15
Y577,AT3G45940,-0.0006682237834787,5.961951323122232e-20
Y577,AT3G61950,-0.0007301571495787,2.874294222565457e-11
Y577,AT4G01890,-0.0515674231024295,8.191967466405843e-21
Y577,AT5G04210,-0.0046509471048742,3.525282282902098e-11
Y577,AT5G11290,-0.0245832820342332,2.822379672233206e-13
Y599,AT5G10200,0.0012882022671919,1.0561461327020404e-05
Y593,AT1G14890,0.0008130524969667,5.53930860019913e-08
Y593,AT2G47680,-0.0010436110740839,2.845965350776513e-07
Y593,AT3G20230,-0.0003755880733315,1.123794445447933e-06
Y593,AT4G00270,-0.0008272024831013,1.493220829788309e-07
Y593,AT5G24850,0.0009499431521467,2.8365533557204344e-07
Y53,AT2G38195,1.2298071870242382,7.72608367691343e-08
Y53,AT3G57230,-0.3661218950596185,6.225033524145579e-07
Y704,AT1G09530,-0.0277124993034676,1.759715636550482e-15
Y704,AT1G12320,-0.0385039216273344,7.493423866831235e-07
Y704,AT1G18330,-0.0167364547231589,7.20543809449383e-07
Y704,AT1G23870,-0.0080109548338912,6.85859596712482e-07
Y704,AT1G35180,-0.0892231986762024,2.982737663902792e-08
Y704,AT1G66140,-0.0244833115555944,4.202340864133819e-08
Y704,AT1G77800,-0.0293907146309455,1.6903466211512229e-06
Y704,AT2G05520,0.00046708980227,2.04744807018059e-06
Y704,AT2G20440,-0.0698965607866689,1.182875603923022e-13
Y704,AT2G28550,0.0045499612000432,8.818319015409337e-09
Y704,AT2G45650,-0.6622084655811332,4.611610063113857e-07
Y704,AT2G45660,-0.0049021904850054,1.9392026478360026e-18
Y704,AT3G05670,-0.0300617090345159,6.802263757693234e-08
Y704,AT3G10150,-0.1001501220874561,6.507258006352531e-10
Y704,AT3G19150,-0.0319932662879723,3.2785286873348795e-09
Y704,AT3G21950,0.0163766805784757,4.595579550418689e-07
Y704,AT3G52840,-0.0045187288436276,3.816360851036504e-07
Y704,AT3G57230,-0.0356194528800747,9.528124918308395e-11
Y704,AT3G57920,-0.1615711024042616,2.853597955977561e-14
Y704,AT3G59880,-0.0562156530316798,1.8220565971199905e-07
Y704,AT4G00620,-0.018449203724572,1.1649060076266572e-07
Y704,AT4G11211,-0.0072317024398721,9.628746931881835e-07
Y704,AT4G17080,-0.0202228261060177,7.403988961538269e-07
Y704,AT4G17810,0.0240623528669569,8.706168024689026e-07
Y704,AT4G33625,-0.0095053123953075,1.6566866588363043e-09
Y704,AT4G34400,-0.1556889805833485,4.105629501024002e-07
Y704,AT5G01190,-0.1313799067988202,9.347499484886697e-08
Y704,AT5G01200,-0.087569514313103,3.307520781172525e-07
Y704,AT5G06130,0.0127620812463843,1.950140942355698e-06
Y704,AT5G06250,-0.2555812378376185,1.7979833520773583e-09
Y704,AT5G10140,0.0020783710709374,3.1319113917195717e-18
Y704,AT5G25900,0.0121120478739085,3.902397277378803e-12
Y704,AT5G49360,-0.0009176613389276,2.501681433496412e-07
Y704,AT5G55120,-0.0102638894949544,3.6409948404807795e-08
Y704,AT5G57520,-0.2215621042801292,9.562859366095449e-07
Y704,AT5G60910,-0.0463315434384368,4.6771186888232465e-09
Y704,AT5G62165,-0.073911921471783,1.6145664217396743e-06
Y704,AT5G63120,-0.066929787564892,3.5857676040508214e-24
Y704,AT5G67360,-0.0039387679698914,8.002963295561434e-07
Y704,AT5G67520,-0.017292141938207,3.626015537468345e-09
Y603,AT1G14890,0.0009160204429413,6.812639827092061e-07
Y603,AT1G61990,0.0009919102343699,5.047906136011766e-06
