y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals,num_significant_pvalues
Y545,0.6078477972214902,2.168350752417712e-06,3.1613623040636143e-10,327,1
Y631,0.8756914945672146,2.168350752417712e-06,1.945440154212546e-06,316,27
Y577,0.8824572427468295,2.168350752417712e-06,5.226656339692448e-10,327,17
Y599,0.7623014115049371,2.168350752417712e-06,1.0737326363353898e-05,327,1
Y593,0.8326769482356573,2.168350752417712e-06,1.2349447749036262e-06,327,5
Y704,0.8334778317336058,2.168350752417712e-06,2.327827644352275e-06,574,40
Y603,0.8687874187639126,2.168350752417712e-06,5.867568319446791e-06,327,6
Y556,0.896848499901914,2.168350752417712e-06,1.896907720226371e-06,326,22
Y622,0.7580880359695092,2.168350752417712e-06,2.897457677134884e-06,327,2
Y628,0.9016649356555057,2.168350752417712e-06,1.3430816519762e-06,325,22
Y580,0.6823019683012624,2.168350752417712e-06,8.782383058873688e-06,327,7
Y123,0.5370256298583288,2.168350752417712e-06,1.8093099749239253e-06,92,3
Y610,0.466297876247606,2.168350752417712e-06,3.7056813305277513e-06,327,2
Y617,0.8150669128960731,2.168350752417712e-06,4.2122285381034965e-06,327,5
Y569,0.9004209114585562,2.168350752417712e-06,3.1363353907050365e-06,324,25
Y587,0.7261770493983122,2.168350752417712e-06,1.0031728947220553e-06,327,10
Y563,0.8196653061007096,2.168350752417712e-06,3.259308437211933e-07,327,3
Y625,0.8583487569409317,2.168350752417712e-06,2.8788242458910203e-06,327,6
Y551,0.7002896423353265,2.168350752417712e-06,4.313806438775477e-06,327,15
Y703,0.906674252568475,2.168350752417712e-06,2.1527520396125024e-06,620,23
Y570,0.913934091131274,2.168350752417712e-06,3.629272052505976e-06,327,28
Y594,0.7698644159165123,2.168350752417712e-06,3.995069475465393e-07,327,5
Y392,0.5551244979656406,2.168350752417712e-06,6.884229567956114e-06,281,3
Y636,0.5766921874259618,2.168350752417712e-06,2.7889952082816138e-06,327,1
Y542,0.6892320652176964,2.168350752417712e-06,1.877504874834448e-07,327,4
Y632,0.8860094173865132,2.168350752417712e-06,1.6563220115748148e-06,324,26
Y638,0.6807793227944401,2.168350752417712e-06,4.229011118543024e-06,327,3
Y546,0.7890781633531859,2.168350752417712e-06,1.5378163669167554e-06,327,6
Y101,0.3971838415740975,2.168350752417712e-06,1.7866055629985063e-05,27,1
Y600,0.7607010473246483,2.168350752417712e-06,3.2836421901296707e-06,327,1
Y590,0.3742550042722867,2.168350752417712e-06,3.262007417879227e-09,327,4
Y574,0.5195770452178615,2.168350752417712e-06,1.3639477628653691e-06,327,4
Y316,0.6491597460523992,2.168915108662647e-06,1.7071705826843753e-06,36,2
Y621,0.8730887856708105,2.168350752417712e-06,4.125942454937209e-06,327,8
Y555,0.7929306885090147,2.168350752417712e-06,4.06569858627563e-06,327,5
Y619,0.7767295823692358,2.168350752417712e-06,2.730410417681192e-06,327,8
Y613,0.8267291110318751,2.168350752417712e-06,1.2553784123325736e-06,327,9
Y589,0.8185704266812563,2.168350752417712e-06,3.2787479332661888e-06,327,2
Y567,0.9259315390280404,2.168350752417712e-06,6.444476787977594e-07,327,21
Y560,0.6011671853306437,2.168350752417712e-06,4.784729752862361e-07,327,4
Y127,0.275421887378235,2.168350752417712e-06,7.468938730640718e-06,88,1
Y584,0.706816749235748,2.168350752417712e-06,2.9886141625982585e-06,327,10
Y614,0.8557940541828734,2.168350752417712e-06,4.503250709264966e-07,327,1
Y552,0.7958196502388172,2.168350752417712e-06,2.9333421997731524e-06,327,12
Y626,0.848793308227703,2.168350752417712e-06,8.25177941843706e-06,327,6
Y597,0.8615750419977749,2.168350752417712e-06,5.319414079348818e-06,327,8
Y579,0.559288111473154,2.168350752417712e-06,8.56846177405212e-06,327,6
Y573,0.6461911333053446,2.168350752417712e-06,1.360801508897508e-06,327,14
Y635,0.6000207700455839,2.168350752417712e-06,2.668153041877476e-06,327,1
Y391,0.2882559101268343,2.168350752417712e-06,2.3825231922367083e-06,281,4
Y702,0.9093188409024416,2.168350752417712e-06,2.263810537343297e-06,613,23
