y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals,num_significant_pvalues
Y532,4.53978706625305e-05,2.1683507524177117e-06,2.386074167045932e-06,337,0
Y545,0.6078477972214902,2.1683507524177117e-06,3.1613623040636143e-10,327,1
Y538,4.5397870662530495e-05,2.1683507524177117e-06,3.952646261361346e-06,337,1
Y108,4.5397870662530495e-05,2.1683507524177117e-06,3.608037747496044e-06,92,0
Y736,4.539787066253049e-05,2.1683507524177117e-06,7.97767204353812e-06,54,0
Y741,0.063211716830642,2.1683507524177117e-06,1.1195960338738806e-05,57,1
Y292,4.5397870662530495e-05,2.1691032926987986e-06,2.7740646633056888e-06,32,0
Y371,4.5397870662530495e-05,2.1683507524177117e-06,7.51732992713332e-08,34,1
Y16,4.53978706625305e-05,2.1683507524177117e-06,6.393822599748764e-07,27,0
Y276,4.53978706625305e-05,2.1683507524177117e-06,2.987429950441968e-06,70,0
Y631,0.8756914945672146,2.1683507524177117e-06,1.945440154212546e-06,316,27
Y577,0.8824572427468295,2.1683507524177117e-06,5.226656339692448e-10,327,17
Y599,0.7623014115049371,2.1683507524177117e-06,1.0737326363353898e-05,327,1
Y130,0.0974732102455027,2.1683507524177117e-06,3.1160558855497077e-09,71,0
Y1310,4.53978706625305e-05,2.168444791395611e-06,4.292331215042907e-06,52,0
Y1284,0.3115076025411031,2.1683507524177117e-06,1.1323627244913033e-07,42,0
Y593,0.8326769482356573,2.1683507524177117e-06,1.2349447749036262e-06,327,5
Y24,4.5397870662530495e-05,2.1683507524177117e-06,5.138337783978651e-06,27,0
Y53,4.5397870662530495e-05,2.1683507524177117e-06,6.26454695407472e-07,48,2
Y609,0.4493506922890226,2.1683507524177117e-06,2.8442625790789197e-09,327,0
Y704,0.8334778317336058,2.1683507524177117e-06,2.327827644352275e-06,574,40
Y603,0.8687874187639126,2.1683507524177117e-06,5.867568319446791e-06,327,6
Y4,4.5397870662530495e-05,2.1683507524177117e-06,1.3681626289146211e-06,29,0
Y521,0.0157580080939191,2.1683507524177117e-06,3.621571990676807e-10,337,0
Y556,0.896848499901914,2.1683507524177117e-06,1.896907720226371e-06,326,22
Y111,4.539787066253049e-05,2.1683507524177117e-06,4.904119739572443e-06,87,4
Y622,0.7580880359695092,2.1683507524177117e-06,2.897457677134884e-06,327,2
Y368,4.5397870662530495e-05,2.168444791395611e-06,3.116755083581157e-06,33,0
Y386,0.050192352897035,2.1683507524177117e-06,3.584711425795331e-06,35,0
Y96,4.5397870662530495e-05,2.1683507524177117e-06,2.3417776359118345e-07,27,0
Y78,4.53978706625305e-05,2.1683507524177117e-06,1.2367945600415397e-07,27,0
Y315,0.6482599714025301,2.168915108662647e-06,1.343797700402868e-05,36,0
Y281,0.1901726844948528,2.1683507524177117e-06,1.2251497533639308e-06,70,0
Y362,4.5397870662530495e-05,2.168444791395611e-06,9.459556046422975e-06,33,0
Y72,0.1058836510929527,2.1683507524177117e-06,6.777450145632838e-06,29,0
Y725,0.0050864872022737,2.1683507524177117e-06,3.1780700506357784e-17,57,0
Y752,0.0974869085049435,2.1683507524177117e-06,9.342087908159688e-07,179,1
Y628,0.9016649356555057,2.1683507524177117e-06,1.3430816519762e-06,325,22
Y580,0.6823019683012624,2.1683507524177117e-06,8.782383058873688e-06,327,7
Y519,4.539787066253049e-05,2.1683507524177117e-06,3.173026730719878e-06,337,0
Y1279,4.5397870662530495e-05,2.1683507524177117e-06,5.46488311129678e-07,47,0
Y129,0.1323771697262739,2.1683507524177117e-06,3.7640188473754215e-08,95,3
Y1309,0.0062989563051487,2.168444791395611e-06,2.4452641055458613e-06,51,0
Y1273,4.53978706625305e-05,2.1683507524177117e-06,2.796708946450136e-07,42,0
Y123,0.5370256298583288,2.1683507524177117e-06,1.8093099749239253e-06,92,3
