y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals
Y532,4.53978706625305e-05,2.1683507524177113e-06,2.386074167045932e-06,337
Y545,0.6078477972214902,2.1683507524177113e-06,3.1613623040636143e-10,327
Y538,4.5397870662530495e-05,2.1683507524177113e-06,3.952646261361346e-06,337
Y108,4.5397870662530495e-05,2.1683507524177113e-06,3.6080377474960435e-06,92
Y736,4.539787066253049e-05,2.1683507524177113e-06,7.97767204353812e-06,54
Y741,0.06321171683064207,2.1683507524177113e-06,1.1195960338738806e-05,57
Y292,4.5397870662530495e-05,2.1691032926987986e-06,2.7740646633056888e-06,32
Y371,4.5397870662530495e-05,2.1683507524177113e-06,7.51732992713332e-08,34
Y16,4.53978706625305e-05,2.1683507524177113e-06,6.393822599748764e-07,27
Y276,4.53978706625305e-05,2.1683507524177113e-06,2.987429950441968e-06,70
Y631,0.8756914945672146,2.1683507524177113e-06,1.9454401542125466e-06,316
Y577,0.8824572427468295,2.1683507524177113e-06,5.226656339692448e-10,327
Y599,0.7623014115049371,2.1683507524177113e-06,1.0737326363353898e-05,327
Y130,0.09747321024550273,2.1683507524177113e-06,3.1160558855497077e-09,71
Y1310,4.53978706625305e-05,2.168444791395611e-06,4.292331215042907e-06,52
Y1284,0.31150760254110316,2.1683507524177113e-06,1.1323627244913032e-07,42
Y593,0.8326769482356573,2.1683507524177113e-06,1.2349447749036262e-06,327
Y24,4.5397870662530495e-05,2.1683507524177113e-06,5.138337783978651e-06,27
Y53,4.5397870662530495e-05,2.1683507524177113e-06,6.26454695407472e-07,48
Y609,0.4493506922890226,2.1683507524177113e-06,2.8442625790789197e-09,327
Y704,0.8334778317336058,2.1683507524177113e-06,2.327827644352275e-06,574
Y603,0.8687874187639126,2.1683507524177113e-06,5.867568319446791e-06,327
Y4,4.5397870662530495e-05,2.1683507524177113e-06,1.3681626289146211e-06,29
Y521,0.015758008093919106,2.1683507524177113e-06,3.6215719906768065e-10,337
Y556,0.896848499901914,2.1683507524177113e-06,1.896907720226371e-06,326
Y111,4.539787066253049e-05,2.1683507524177113e-06,4.904119739572443e-06,87
Y622,0.7580880359695092,2.1683507524177113e-06,2.897457677134884e-06,327
Y368,4.5397870662530495e-05,2.168444791395611e-06,3.1167550835811575e-06,33
Y386,0.050192352897035074,2.1683507524177113e-06,3.584711425795331e-06,35
Y96,4.5397870662530495e-05,2.1683507524177113e-06,2.3417776359118342e-07,27
Y78,4.53978706625305e-05,2.1683507524177113e-06,1.2367945600415397e-07,27
Y315,0.6482599714025301,2.168915108662647e-06,1.3437977004028681e-05,36
Y281,0.1901726844948528,2.1683507524177113e-06,1.2251497533639308e-06,70
Y362,4.5397870662530495e-05,2.168444791395611e-06,9.459556046422977e-06,33
Y72,0.1058836510929527,2.1683507524177113e-06,6.777450145632838e-06,29
Y725,0.005086487202273795,2.1683507524177113e-06,3.1780700506357784e-17,57
Y752,0.09748690850494358,2.1683507524177113e-06,9.342087908159689e-07,179
Y628,0.9016649356555055,2.1683507524177113e-06,1.3430816519762e-06,325
Y580,0.6823019683012624,2.1683507524177113e-06,8.782383058873688e-06,327
Y519,4.539787066253049e-05,2.1683507524177113e-06,3.1730267307198786e-06,337
Y1279,4.5397870662530495e-05,2.1683507524177113e-06,5.46488311129678e-07,47
Y129,0.13237716972627392,2.1683507524177113e-06,3.764018847375421e-08,95
Y1309,0.006298956305148706,2.168444791395611e-06,2.4452641055458613e-06,51
Y1273,4.53978706625305e-05,2.1683507524177113e-06,2.7967089464501355e-07,42
Y123,0.5370256298583288,2.1683507524177113e-06,1.8093099749239255e-06,92
Y564,0.3626736189409957,2.1683507524177113e-06,3.6601774008295204e-11,327
Y610,0.46629787624760605,2.1683507524177113e-06,3.7056813305277513e-06,327
Y717,4.539787066253049e-05,2.1683507524177113e-06,4.945070413157219e-06,57
Y37,4.53978706625305e-05,2.1683507524177113e-06,7.457036923720238e-07,48
Y40,4.5397870662530495e-05,2.1683507524177113e-06,2.4795097483826894e-06,26
Y617,0.8150669128960731,2.1683507524177113e-06,4.2122285381034965e-06,327
Y47,4.5397870662530495e-05,2.1683507524177113e-06,1.0478294376153333e-06,48
Y320,0.42545984061223835,2.168915108662647e-06,4.367410906140233e-06,36
Y357,4.539787066253049e-05,2.1683507524177113e-06,5.362884015773213e-06,34
Y569,0.9004209114585562,2.1683507524177113e-06,3.1363353907050365e-06,324
Y587,0.7261770493983122,2.1683507524177113e-06,1.0031728947220553e-06,327
Y1290,4.5397870662530495e-05,2.1683507524177113e-06,7.366642635049798e-12,47
Y124,4.5397870662530495e-05,2.1683507524177113e-06,1.2571609993549355e-05,73
Y1274,4.5397870662530495e-05,2.1683507524177113e-06,4.745852428985452e-11,47
Y563,0.8196653061007096,2.1683507524177113e-06,3.2593084372119323e-07,327
Y625,0.8583487569409317,2.1683507524177113e-06,2.8788242458910203e-06,327
Y728,4.5397870662530495e-05,2.1683507524177113e-06,1.6052078406827462e-09,57
Y381,4.5397870662530495e-05,2.1683507524177113e-06,3.730678511259281e-06,35
Y318,0.38032480794434426,2.168915108662647e-06,1.0111879140064224e-05,36
Y91,0.10001588786079417,2.1683507524177113e-06,7.547224113600932e-07,27
Y365,4.5397870662530495e-05,2.168444791395611e-06,1.7590168326324553e-08,33
Y286,0.002137005217276469,2.1683507524177113e-06,9.61685164622112e-08,70
Y722,4.5397870662530495e-05,2.1683507524177113e-06,2.7539897858027254e-06,57
Y551,0.7002896423353265,2.1683507524177113e-06,4.313806438775477e-06,327
Y526,0.04885697848973221,2.1683507524177113e-06,3.0270718658624235e-15,337
Y116,4.5397870662530495e-05,2.1683507524177113e-06,1.4677101620837474e-06,95
Y54,0.11303507126463298,2.1683507524177113e-06,1.7954599183400656e-06,27
Y23,4.53978706625305e-05,2.1683507524177113e-06,1.054507185620317e-06,27
Y703,0.906674252568475,2.1683507524177113e-06,2.1527520396125024e-06,620
Y604,0.39554565605876346,2.1683507524177113e-06,9.53343171482466e-11,327
Y29,0.19368839169348687,2.1683507524177113e-06,5.023757856454393e-09,51
Y570,0.9139340911312739,2.1683507524177113e-06,3.6292720525059755e-06,327
Y1289,4.5397870662530495e-05,2.1683507524177113e-06,2.044236127124728e-12,47
Y137,0.05240535437409238,2.1683507524177113e-06,5.027576017895339e-06,92
Y1267,4.5397870662530495e-05,2.1683507524177113e-06,4.051255435797403e-12,42
Y140,0.1588727439951991,2.1683507524177113e-06,1.5826307151525754e-06,95
Y1283,4.5397870662530495e-05,2.1683507524177113e-06,4.596935565590615e-09,42
Y1317,4.5397870662530495e-05,2.1683507524177113e-06,4.683232314918083e-06,41
Y594,0.7698644159165123,2.1683507524177113e-06,3.995069475465393e-07,327
Y746,0.09610401755462523,2.1683507524177113e-06,2.5680826739516617e-07,57
Y731,4.53978706625305e-05,2.1683507524177113e-06,5.239549662404856e-06,56
Y376,0.8791497475833097,2.1683507524177113e-06,4.3064497361662656e-11,34
Y88,4.5397870662530495e-05,2.1683507524177113e-06,7.035815592149556e-06,26
Y11,4.5397870662530495e-05,2.1683507524177113e-06,4.990408731520958e-07,54
Y66,4.5397870662530495e-05,2.1683507524177113e-06,6.471241598985269e-06,26
Y392,0.5551244979656406,2.1683507524177113e-06,6.884229567956114e-06,281
Y271,0.009671742227064087,2.1683507524177113e-06,1.3223539161545785e-10,70
