"study.id","GWAS hits","tWAS.hits"
4,2,NA
5,2,NA
7,22,NA
8,1,NA
11,18,NA
13,1,NA
15,1,NA
16,23,NA
17,73,NA
19,6,NA
20,1,NA
22,17,NA
26,2,NA
28,129,NA
29,2,NA
31,15,NA
32,1,NA
34,11,NA
35,1,NA
37,7,NA
38,1,NA
41,14,NA
43,45,NA
44,1,NA
46,1,NA
47,10,NA
49,6,NA
50,1,NA
51,5,NA
52,NA,NA
53,7,NA
54,10,NA
56,NA,NA
58,4,NA
59,1,NA
61,10,NA
66,2,NA
67,3,NA
68,325,NA
69,11,NA
73,6,NA
75,2,NA
78,44,NA
79,1,NA
80,8,NA
82,3,NA
86,5,NA
88,87,NA
89,31,NA
90,2,NA
92,3,NA
95,2,NA
97,204,NA
99,NA,NA
100,3,NA
101,47,1
102,5,NA
104,3,NA
105,1,NA
110,4,3
113,NA,NA
115,1,NA
116,NA,NA
117,NA,NA
119,1,9
120,NA,NA
121,1,5
123,6,3
125,1,3
126,2,3
130,NA,NA
131,2,1
132,NA,3
133,NA,NA
136,3,NA
140,6,NA
143,1,NA
144,1009,NA
145,539,NA
146,853,NA
261,6,NA
262,4,NA
271,14,NA
279,8,NA
286,54,NA
287,214,NA
289,23,NA
290,9,NA
291,1,NA
293,1,NA
294,11,1
315,2,NA
316,9,2
325,3,NA
326,12,1
356,NA,NA
357,1,NA
369,NA,NA
371,1,NA
378,NA,NA
389,NA,NA
390,NA,2
392,1,3
525,NA,NA
536,NA,NA
537,NA,NA
542,11,4
543,NA,2
544,17,3
545,5,1
546,4,6
547,2,2
548,3,NA
549,NA,2
550,NA,6
551,NA,15
552,NA,12
553,NA,10
554,100,4
555,34,5
556,137,22
557,NA,NA
558,NA,NA
560,NA,4
561,NA,NA
562,NA,NA
563,NA,3
564,NA,NA
565,1,4
566,3,5
567,114,21
568,5,7
569,121,25
570,17,28
571,NA,2
572,747,5
573,9,14
575,NA,4
576,14,5
577,477,17
578,4,2
579,6,6
580,1,7
581,8,NA
582,NA,NA
583,NA,NA
584,7,10
585,NA,7
586,10,9
587,9,10
588,NA,2
589,NA,2
590,NA,4
591,1,4
592,NA,2
593,3,5
594,NA,5
595,NA,1
596,2,5
597,9,8
598,1,1
599,2,1
600,2,1
601,NA,2
602,1,1
603,1,6
604,NA,NA
605,NA,NA
606,NA,NA
607,NA,NA
609,NA,NA
610,NA,2
611,NA,7
612,NA,7
613,NA,9
614,2,1
615,NA,NA
616,401,11
617,101,5
618,172,4
619,54,8
620,31,8
621,175,8
622,20,2
623,55,3
624,45,6
625,5,6
626,1,6
627,7,5
628,128,22
629,NA,5
630,175,14
631,14,27
632,92,26
633,63,12
634,29,1
635,13,1
636,16,1
637,17,1
638,2,3
639,2,2
649,NA,NA
650,NA,NA
673,NA,NA
679,NA,NA
689,NA,NA
695,NA,NA
699,209,NA
701,4,32
702,3,23
703,1,23
723,NA,NA
724,NA,NA
727,NA,NA
750,NA,NA
752,8,NA
753,3,1
759,6,NA
760,8,NA
768,1,NA
