y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals,num_significant_pvalues
Y545,0.6078477972214902,2.168350752417712e-06,3.1613623040636143e-10,327,1
Y631,0.8756914945672146,2.168350752417712e-06,1.945440154212546e-06,316,27
Y577,0.8824572427468295,2.168350752417712e-06,5.226656339692448e-10,327,17
Y599,0.7623014115049371,2.168350752417712e-06,1.0737326363353898e-05,327,1
Y1284,0.3115076025411031,2.168350752417712e-06,1.1323627244913033e-07,42,0
Y593,0.8326769482356573,2.168350752417712e-06,1.2349447749036262e-06,327,5
Y609,0.4493506922890226,2.168350752417712e-06,2.8442625790789197e-09,327,0
Y704,0.8334778317336058,2.168350752417712e-06,2.327827644352275e-06,574,40
Y603,0.8687874187639126,2.168350752417712e-06,5.867568319446791e-06,327,6
Y556,0.896848499901914,2.168350752417712e-06,1.896907720226371e-06,326,22
Y622,0.7580880359695092,2.168350752417712e-06,2.897457677134884e-06,327,2
Y315,0.6482599714025301,2.168915108662647e-06,1.343797700402868e-05,36,0
Y628,0.9016649356555057,2.168350752417712e-06,1.3430816519762e-06,325,22
Y580,0.6823019683012624,2.168350752417712e-06,8.782383058873688e-06,327,7
Y123,0.5370256298583288,2.168350752417712e-06,1.8093099749239253e-06,92,3
Y564,0.3626736189409957,2.168350752417712e-06,3.66017740082952e-11,327,0
Y610,0.466297876247606,2.168350752417712e-06,3.7056813305277513e-06,327,2
Y617,0.8150669128960731,2.168350752417712e-06,4.2122285381034965e-06,327,5
Y320,0.4254598406122383,2.168915108662647e-06,4.367410906140233e-06,36,0
Y569,0.9004209114585562,2.168350752417712e-06,3.1363353907050365e-06,324,25
Y587,0.7261770493983122,2.168350752417712e-06,1.0031728947220553e-06,327,10
Y563,0.8196653061007096,2.168350752417712e-06,3.259308437211933e-07,327,3
Y625,0.8583487569409317,2.168350752417712e-06,2.8788242458910203e-06,327,6
Y318,0.3803248079443442,2.168915108662647e-06,1.0111879140064224e-05,36,0
Y551,0.7002896423353265,2.168350752417712e-06,4.313806438775477e-06,327,15
Y703,0.906674252568475,2.168350752417712e-06,2.1527520396125024e-06,620,23
Y604,0.3955456560587634,2.168350752417712e-06,9.53343171482466e-11,327,0
Y570,0.913934091131274,2.168350752417712e-06,3.629272052505976e-06,327,28
Y594,0.7698644159165123,2.168350752417712e-06,3.995069475465393e-07,327,5
Y376,0.8791497475833097,2.168350752417712e-06,4.3064497361662656e-11,34,0
Y392,0.5551244979656406,2.168350752417712e-06,6.884229567956114e-06,281,3
Y636,0.5766921874259618,2.168350752417712e-06,2.7889952082816138e-06,327,1
Y105,0.4799709545290532,2.168350752417712e-06,5.6735383349487975e-06,27,0
Y542,0.6892320652176964,2.168350752417712e-06,1.877504874834448e-07,327,4
Y548,0.6600499135749133,2.168350752417712e-06,2.520180343903822e-06,327,0
Y632,0.8860094173865132,2.168350752417712e-06,1.6563220115748148e-06,324,26
Y378,0.9149459997991192,2.168350752417712e-06,1.3121895402955721e-14,34,0
Y638,0.6807793227944401,2.168350752417712e-06,4.229011118543024e-06,327,3
Y546,0.7890781633531859,2.168350752417712e-06,1.5378163669167554e-06,327,6
Y101,0.3971838415740975,2.168350752417712e-06,1.7866055629985063e-05,27,1
Y7,0.8105038529600513,2.168350752417712e-06,1.1512213455873184e-08,25,0
Y600,0.7607010473246483,2.168350752417712e-06,3.2836421901296707e-06,327,1
Y590,0.3742550042722867,2.168350752417712e-06,3.262007417879227e-09,327,4
Y1313,0.2032645758264159,2.168350752417712e-06,5.070932421445087e-06,41,0
Y574,0.5195770452178615,2.168350752417712e-06,1.3639477628653691e-06,327,4
Y316,0.6491597460523992,2.168915108662647e-06,1.7071705826843753e-06,36,2
Y621,0.8730887856708105,2.168350752417712e-06,4.125942454937209e-06,327,8
Y555,0.7929306885090147,2.168350752417712e-06,4.06569858627563e-06,327,5
Y619,0.7767295823692358,2.168350752417712e-06,2.730410417681192e-06,327,8
Y613,0.8267291110318751,2.168350752417712e-06,1.2553784123325736e-06,327,9
