CHR,POS,p_value,effect_size,AGI_ID
1,5779021,1.2039168037601457e-06,-0.0557310352807137,AT1G16900
1,7007756,4.602482163855979e-07,-0.0446221550978298,AT1G20225
1,17021610,6.934940104975226e-08,-2.2315606092652227,AT1G45015
1,17660752,3.264348748569471e-08,-1.1863690330583527,AT1G47915
1,17661095,1.137920763529525e-07,-0.1567760451900038,AT1G47920
1,29467437,3.8998546689705363e-08,-0.1667996633828546,AT1G78320
2,1513512,7.668728045499803e-07,-0.1130560849701957,AT2G04340
2,5315038,4.683025085945946e-07,-0.1807491226605987,AT2G12935
2,8253416,4.810276551617155e-07,-3.45049886781294,AT2G19050
2,11512861,2.55506251309373e-07,-0.0623070779799982,AT2G26975
2,18280623,6.271215664741061e-08,-0.0141632607363253,AT2G44210
2,18608824,1.4709684962341018e-07,-0.2722644119284649,AT2G45135
2,19191935,3.293491924472134e-07,0.0369886274916031,AT2G46710
3,4779688,8.431545520853172e-08,-0.1695982138832704,AT3G14330
3,8194679,1.8066956686326584e-06,0.0090355857323435,AT3G23050
3,16886226,9.099651081015468e-08,-0.1035132819711507,AT3G45940
4,231780,1.0508516123307727e-08,-0.4671076040490851,AT4G00525
4,816210,9.751322564163e-08,-7.847112827055741,AT4G01890
4,6336023,4.289602242698444e-07,-0.8154913671993473,AT4G10160
5,3599001,2.40016841003625e-10,-5.489817686310339,AT5G11290
5,3638431,3.9177829204764686e-08,-0.5859873004092138,AT5G11410
5,17409524,1.1970421218507537e-06,-0.500854742476447,AT5G43360
5,23911151,1.3140849811841616e-06,-2.037059179249061,AT5G59270
5,25932290,1.341648314944708e-06,-0.1362837990953824,AT5G64880
5,26439013,5.863390468404265e-07,-0.3228763356977392,AT5G66150
